# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,type
112000,42.0,0.0,20.67,0.47,17.0,1.0,sitting
112250,42.0,0.0,20.75,0.43,15.5,0.5,sitting
112500,42.0,0.0,21.0,0.0,16.33,1.25,sitting
112750,42.25,0.43,19.25,1.3,18.25,0.83,sitting
113000,42.25,0.43,16.33,0.47,18.25,0.43,sitting
113250,42.5,0.5,16.5,0.87,18.0,0.0,sitting
113500,42.5,0.5,20.33,0.94,14.67,0.47,sitting
113750,42.67,0.47,18.75,0.83,18.67,0.94,sitting
114000,42.5,0.5,20.25,0.43,20.5,0.87,sitting
114250,42.25,0.43,21.0,0.0,20.25,0.43,sitting
114500,42.33,0.47,21.0,0.0,20.25,0.43,sitting
114750,42.25,0.43,20.0,0.0,18.0,0.71,sitting
115000,42.25,0.43,19.5,0.5,16.5,1.12,sitting
115250,42.25,0.43,20.0,0.0,16.5,1.12,sitting
115500,42.25,0.43,20.0,0.0,16.75,0.43,sitting
115750,42.25,0.43,19.75,0.83,16.33,0.94,sitting
116000,42.5,0.5,19.75,0.43,15.0,0.0,sitting
116250,42.25,0.43,20.75,0.43,13.5,1.5,sitting
116500,42.5,0.5,20.75,0.43,15.25,1.79,sitting
116750,42.25,0.43,19.33,0.47,19.33,0.94,sitting
117000,42.25,0.43,20.5,0.5,20.0,0.71,sitting
117250,42.67,0.47,20.5,0.5,21.0,0.0,sitting
117500,42.5,0.5,20.25,0.43,20.5,0.5,sitting
117750,42.0,0.0,19.33,0.94,19.75,0.43,sitting
118000,42.0,0.0,19.4,0.49,18.0,0.0,sitting
118250,42.0,0.0,18.33,0.47,18.25,1.09,sitting
118500,42.25,0.43,18.0,0.0,17.75,1.09,sitting
118750,42.25,0.43,18.0,0.0,16.5,1.12,sitting
119000,42.0,0.0,18.0,0.0,16.0,0.82,sitting
119250,42.5,0.5,18.0,0.0,15.25,0.43,sitting
119500,42.5,0.5,18.25,0.43,16.0,1.22,sitting
119750,42.25,0.43,20.0,0.71,19.0,1.0,sitting
